Indochine (1992);0.4023698721957644,0.7569803957026668,;
Bird on a Wire (1990);0.6718790968452444,0.03105822958056611,;
Fright Night (1985);0.6303994326617152,0.44790682391055775,;
Golden Child, The (1986);0.6529923998552308,0.18829626477688943,;
Do the Right Thing (1989);0.29412320578558854,0.8799904834267945,;
Band of the Hand (1986);0.44203207087384533,0.15192108527401077,;
Father of the Bride Part II (1995);0.7573272048191603,0.09706776374676401,;
42 Up (1998);0.4018912966870331,0.9354758890566397,;
In & Out (1997);0.6044180387832728,0.4054805312887202,;
Kids in the Hall: Brain Candy (1996);0.4950062440018446,0.5722936635636552,;
I Like It Like That (1994);0.17753024598857234,0.7793544555677935,;
Star Wars: Episode I - The Phantom Menace (1999);0.7869915606740522,0.29810820078284334,;
Sudden Death (1995);0.7214434827483289,-0.036888528084085444,;
North by Northwest (1959);0.5351193916420804,0.9274821294206228,;
Being There (1979);0.45168597410344286,0.8568812169749682,;
Killer: A Journal of Murder (1995);0.305256215428871,0.4322884035287636,;
Natural, The (1984);0.6493290907672876,0.6010950915655485,;
William Shakespeare's Romeo and Juliet (1996);0.5046855347371653,0.5914519615162962,;
Juno and Paycock (1930);0.1694899375467415,0.20502175805613518,;
Eddie (1996);0.6654622936982157,0.04157098945051955,;
Red Corner (1997);0.6880719827871105,0.28203358937381107,;
Dead Calm (1989);0.6076349359031148,0.589436855928091,;
Blood In, Blood Out (a.k.a. Bound by Honor) (1993);0.5738946462586988,0.3463966787012539,;
Beyond Silence (1996);0.35187476311087923,0.7670584850456177,;
For Your Eyes Only (1981);0.7164105794098957,0.3674256521077703,;
Force 10 from Navarone (1978);0.6622085800302161,0.3697525164963346,;
Boat, The (Das Boot) (1981);0.5205047748670845,0.9113425862507836,;
Central Station (Central do Brasil) (1998);0.5599046433023955,0.8693475849408534,;
Running Scared (1986);0.6286594893810422,0.45658846234993855,;
Swiss Family Robinson (1960);0.6233109314721123,0.5224806102046327,;
Taffin (1988);0.700385846140212,0.30656171459676707,;
Glimmer Man, The (1996);0.7610419002513621,-0.10321809218645568,;
Repo Man (1984);0.28362199310718617,0.8505222466837342,;
Buddy Holly Story, The (1978);0.5594863285896896,0.6308167122206737,;
Stir of Echoes (1999);0.7296972098925869,0.4548254431664614,;
Windows (1980);-1.9102313427243467E-5,4.94530458464652E-4,;
Apocalypse Now (1979);0.4387122081982054,0.9498138687744421,;
Apple Dumpling Gang, The (1975);0.606839639123995,0.29188075091661353,;
Gossip (2000);0.6680722159414604,0.14378586547492148,;
Simon Sez (1999);0.14254781696353563,0.6288224949480206,;
20,000 Leagues Under the Sea (1954);0.5648345347832333,0.6412204392685308,;
Sleepy Hollow (1999);0.5757940489252352,0.5459738385527607,;
Asylum (1972);0.3617638502674491,0.4689399208657024,;
Ten Benny (1997);0.34302360636997736,0.7809200765369402,;
Hurricane Streets (1998);0.9999075887333908,0.20793364230052958,;
High Art (1998);0.16909449491958525,0.8570328955881745,;
Jane Eyre (1996);0.7424707214590807,0.4179358608104463,;
Wings of the Dove, The (1997);0.39866370370500864,0.7847653517299534,;
Under Capricorn (1949);0.34495740296392813,0.2571987503169744,;
Bless the Child (2000);0.7784278926199666,-0.10438418886578917,;
Hello Mary Lou: Prom Night II (1987);0.4471677220212974,0.060216100942682656,;
Ronin (1998);0.576335019091484,0.5657193075384378,;
Broken English (1996);0.49316397161381154,0.5449651480118476,;
Grand Canyon (1991);0.5001653491130987,0.5909274322080172,;
She's So Lovely (1997);-0.0019990977270496592,0.7355067607395263,;
Assault on Precinct 13 (1976);0.5537909682433758,0.6144337204399517,;
Better Living Through Circuitry (1999);0.8781853237086008,0.3881786932056751,;
Suicide Kings (1997);0.7012571246175732,0.410494683456028,;
Robocop 3 (1993);0.5225918162402257,-0.10457385439639519,;
While You Were Sleeping (1995);0.7773796792194247,0.32890666580650213,;
Batman & Robin (1997);0.6882329477299877,-0.10845823234099247,;
Paradise Road (1997);0.572973380843156,0.5319369834653589,;
Target (1995);0.7101833043437822,0.5052226798214827,;
Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995);0.4056891039532613,0.5765210107138018,;
Phenomenon (1996);0.7580437415867656,0.3365008981451138,;
April Fool's Day (1986);0.6780043816015979,0.19976610429169245,;
Under Siege (1992);0.7704128827697582,0.20749008774223138,;
Alvarez Kelly (1966);0.3921908036083158,0.6585828321081877,;
Temptress Moon (Feng Yue) (1996);0.2953849790057741,0.43473909318483106,;
European Vacation (1985);0.6894490955010809,0.1644466423113475,;
Hamlet (1948);0.2542753073524367,0.97041736540227,;
Barefoot in the Park (1967);0.5917329074801163,0.578109938708835,;
Davy Crockett, King of the Wild Frontier (1955);0.6939639538457374,0.3359175496158705,;
Fabulous Baker Boys, The (1989);0.4238741016312606,0.6416925882791923,;
On the Waterfront (1954);0.4445284491203378,0.9469356171846768,;
Fly Away Home (1996);0.6463032238631206,0.5111978659146023,;
Price of Glory (2000);0.7479337923116611,0.3299666284766643,;
Infinity (1996);0.7201025726886636,0.3900884783057077,;
Hellraiser III: Hell on Earth (1992);0.5231249865531301,0.04288818754352733,;
Wings of Courage (1995);0.666114635048646,0.24238029840432115,;
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962);0.46970680552681976,0.3495554037177254,;
Cider House Rules, The (1999);0.6834657353361434,0.6281563983895441,;
Believers, The (1987);0.5741280397580708,0.3390144272524066,;
Leave It to Beaver (1997);0.5646147750870903,-0.08529961973950147,;
Carnal Knowledge (1971);0.30238023961558674,0.8016667698191794,;
On Her Majesty's Secret Service (1969);0.6284421939431911,0.48244867133215774,;
Tao of Steve, The (2000);0.53489820699854,0.660306182481414,;
Home Fries (1998);0.47484719430168765,0.20323254334392254,;
Buffy the Vampire Slayer (1992);0.5850260780486044,0.3836496251224217,;
Fresh (1994);0.5134205785668553,0.7916065136717695,;
Truth About Cats & Dogs, The (1996);0.635494400796823,0.45571561674108413,;
To Die For (1995);0.31151932663416876,0.7672696380420718,;
Odessa File, The (1974);0.5846885712708629,0.6386721217710647,;
Heaven's Burning (1997);0.7032100762479663,0.511372704080215,;
Puppet Master 5: The Final Chapter (1994);0.5278381826347128,-0.2334283089759928,;
Sommersby (1993);0.7965750054821858,0.1875139414243074,;
Rules of Engagement (2000);0.7481898542787012,0.2649657163790961,;
Nobody Loves Me (Keiner liebt mich) (1994);-0.11136340133783343,0.9973699003333195,;
Craft, The (1996);0.6811707910684931,0.23415308940760032,;
Jakob the Liar (1999);0.7507390410160353,0.08565037574027763,;
Scarlet Letter, The (1926);0.3220578131514364,0.7297976821232397,;
Plan 9 from Outer Space (1958);0.07359431347132654,0.5891258867873891,;
Fear and Loathing in Las Vegas (1998);0.278058819759691,0.7139097222365425,;
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963);0.459989087048724,0.9975532743779255,;
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997);0.6827904517815998,-0.16623829332583184,;
Hungarian Fairy Tale, A (1987);0.3925277147567947,0.811932116577699,;
My Life in Pink (Ma vie en rose) (1997);0.36958348766169574,0.8384944344763035,;
Captain Horatio Hornblower (1951);0.6272238968030385,0.5922421916053724,;
Friday the 13th Part VI: Jason Lives (1986);0.573649851545234,-0.10318027623656435,;
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991);0.6115719941597122,-0.13004293365992395,;
Grand Hotel (1932);0.39575171201889486,0.8368273698270486,;
Tarzan (1999);0.7011891367263017,0.4869395904165709,;
Best Man, The (Il Testimone dello sposo) (1997);0.5386396164001658,0.7054044498890035,;
Get Carter (2000);0.5331081410749011,0.03400173325477553,;
Higher Learning (1995);0.7069727878715688,0.3250949535819458,;
Flamingo Kid, The (1984);0.4413934369479896,0.5284376701998023,;
Mirror Has Two Faces, The (1996);0.8278368849110097,0.04683851108656759,;
Fear, The (1995);0.4584504466934581,0.17334291123510995,;
Perfect Blue (1997);0.7178786161883566,0.6404599326225636,;
Leather Jacket Love Story (1997);0.556613433866076,0.9343231191693782,;
Without Limits (1998);0.6987067654557789,0.5373239178995992,;
Heavenly Creatures (1994);0.2826100611986119,0.8817661036198859,;
Tumbleweeds (1999);0.5566727169705536,0.6367937844982146,;
Dunston Checks In (1996);0.5379484047449615,-0.006034965944226979,;
Ben-Hur (1959);0.6830671650789982,0.6593363175352609,;
She's All That (1999);0.6961806474863343,0.22093646926415508,;
Flying Tigers (1942);0.5374444639012126,0.5851878529238056,;
Rocky V (1990);0.6402873348792025,-0.1611082139240729,;
Endless Summer, The (1966);0.5166800869063538,0.6788599256030934,;
Shop Around the Corner, The (1940);0.5527928411326714,0.7658807421027429,;
Pocahontas (1995);0.6559793586660272,0.20046299090427896,;
Aparajito (1956);0.3716697734764175,1.0,;
Palm Beach Story, The (1942);0.42227516587612846,0.9656978449750403,;
Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995);0.5533735466011191,0.46074618639686116,;
8 Seconds (1994);0.8426746231737602,0.11373062499828945,;
Richard III (1995);0.3672873950223654,0.8595505292027794,;
Sense and Sensibility (1995);0.6109562937259677,0.7649908099470646,;
Picture Bride (1995);0.49540371095775876,0.5403112130561504,;
Groundhog Day (1993);0.551877887595604,0.719871733719556,;
Metro (1997);0.6561351775766912,0.09628930274230947,;
It Takes Two (1995);0.9282198622599782,-0.5136372505080958,;
My Cousin Vinny (1992);0.6915636489719569,0.5324675690040037,;
Pyromaniac's Love Story, A (1995);0.5454797506538492,0.3254464175374378,;
Drunks (1997);0.26769510268288266,0.6940740267329707,;
Hellbound: Hellraiser II (1988);0.48919696099911114,0.27319639271729085,;
Mystery, Alaska (1999);0.7759097791902755,0.3291144043984589,;
Ruthless People (1986);0.5892845307940107,0.5247398270568431,;
Minnie and Moskowitz (1971);0.15063872692146607,0.7939231918123193,;
Village of the Damned (1960);0.4713336640216937,0.6030016534776224,;
I, Worst of All (Yo, la peor de todas) (1990);0.20330285164583387,0.9000311855550504,;
Bound (1996);0.45601477946438634,0.7576384380416944,;
Senseless (1998);0.5945120353423494,0.16379117861610665,;
Transformers: The Movie, The (1986);0.742306607370774,0.31612397666306163,;
Get Bruce (1999);0.4400566689010957,0.6043133050137701,;
Vagabond (Sans toit ni loi) (1985);0.5071006343106484,0.7930166674603776,;
Crude Oasis, The (1995);0.02857247493181481,0.37878937890842634,;
Man Facing Southeast (Hombre Mirando al Sudeste) (1986);0.31692107141089926,0.8292598210788773,;
Black Mask (Hak hap) (1996);0.654884681578532,0.32299552990540026,;
Plenty (1985);-0.06916026410579107,0.8121058704846452,;
Star Trek: The Motion Picture (1979);0.6721412127163914,0.3006111036734719,;
Jawbreaker (1999);0.4722902684351204,0.274395376396171,;
Lawrence of Arabia (1962);0.5270942068831728,0.9595912980032714,;
Jerry Springer: Ringmaster (1998);0.23304040235545645,0.16386069406338052,;
Schindler's List (1993);0.7260414302741648,0.8420914841539066,;
Dirty Dozen, The (1967);0.6699365062428347,0.6661061448397182,;
Horseman on the Roof, The (Hussard sur le toit, Le) (1995);0.5172776857416573,0.653589040925882,;
Lolita (1997);0.3433449110776983,0.6831965515724899,;
Brandon Teena Story, The (1998);0.4126197195554692,0.8683132947547195,;
Predator 2 (1990);0.6583866550684307,0.18172571971860926,;
Very Natural Thing, A (1974);0.28305120623712415,0.8075926148119021,;
Bushwhacked (1995);0.475167854239699,-0.1606353753877418,;
Limbo (1999);0.4696692446528339,0.8098669508889376,;
Holiday Inn (1942);0.6836159120295853,0.6010828307776322,;
Rent-a-Kid (1995);0.5730678879691968,-0.002147354568395855,;
Experience Preferred... But Not Essential (1982);0.33876650111642637,0.7187672386619728,;
Slums of Beverly Hills, The (1998);0.266987552445662,0.7278451336633217,;
Friend of the Deceased, A (1997);0.5363156284385544,0.6990458150875676,;
Return to Oz (1985);0.4497078931341862,0.35652381886947715,;
Marcello Mastroianni: I Remember Yes, I Remember (1997);0.7113827363561448,0.7046306949809146,;
Pale Rider (1985);0.6354377547813508,0.5998640370399893,;
Beautiful (2000);0.5377380282230655,0.14197072883687642,;
Bronco Billy (1980);0.43750872728276297,0.3988055581500508,;
Curse of Frankenstein, The (1957);0.41987361150043856,0.4216166451811251,;
Manhattan Murder Mystery (1993);0.40769416725445257,0.7519325114749377,;
Love Bewitched, A (El Amor Brujo) (1986);0.14167084853420991,0.7436140857235553,;
Outlaw Josey Wales, The (1976);0.6497144844617915,0.6892880760166025,;
Blade Runner (1982);0.5020736626284551,0.952546892213664,;
Sliding Doors (1998);0.7015704460400947,0.5603503471531964,;
Jefferson in Paris (1995);0.5017410486289655,0.4179529511514702,;
Unforgettable (1996);0.7158928433460898,0.26254111396181573,;
Striking Distance (1993);0.6682809586631572,0.047876784374426225,;
Free Enterprise (1998);0.4796361947327778,0.6495821893882079,;
Space Jam (1996);0.5987441471542289,0.09436393452795719,;
Get on the Bus (1996);0.3718343270852934,0.6401690726487267,;
Everest (1998);0.6755198471729685,0.6837982859255584,;
Thumbelina (1994);0.7223511666592085,-0.0271061413859117,;
U.S. Marshalls (1998);0.7896668921843971,0.17431712146577974,;
Little Big League (1994);0.6342410120097534,0.22240169858391537,;
Universal Soldier: The Return (1999);0.48957391782285076,-0.16698184249078338,;
Very Brady Sequel, A (1996);0.2595086863942737,0.4525013762252917,;
